omg,produktnamn,correctRow,utd13,utd12,utd11,utd10
200138,Europatipset,12111212XX12X,19991,859,85,0
200137,Stryktipset,122122X2X11X1,757701,11358,914,218
200137,Europatipset,21X111X1112X2,128382,3716,260,64
200136,Stryktipset,1X2X1X2XX2111,590573,9296,629,129
200136,Europatipset,12X2212XXX212,279588,10668,742,161
200135,Stryktipset,2222X112X1121,190259,2743,257,66
200135,Europatipset,X22X12XX21111,343933,2328,168,40
200134,Stryktipset,1X11X22X12122,267822,4684,392,101
200134,Europatipset,XXX112XX1112X,236513,2919,200,48
200133,Stryktipset,1X12X11221211,9386,367,37,0
200132,Stryktipset,X1212X21221X1,1604239,15782,1082,264
200131,Stryktipset,1XXX2XX1XX22X,326971,6862,514,131
200130,Stryktipset,1X12XXX2121X1,121343,3692,265,68
200129,Stryktipset,11212XX1121X2,27964,894,79,24
200128,Stryktipset,2XX1121121211,182230,2521,199,48
200127,Stryktipset,1X222212X21XX,1460526,17684,1061,236
200126,Stryktipset,21X1X11211222,11135,357,40,0
200125,Stryktipset,1XX211211111X,214295,3823,307,75
200124,Stryktipset,X11XX12111222,158948,4222,347,79
200124,Europatipset,111112121X211,2034,90,0,0
200123,Stryktipset,21212X111XX12,239793,3261,204,44
200123,Europatipset,X212X2XXXXX22,10000000,50126,2025,369
200122,Stryktipset,1X2121X1XX211,2382,127,0,0
200122,Europatipset,1X121X1XX1112,964,59,0,0
200121,Stryktipset,11X121X1X11X2,112136,2881,270,79
200121,Europatipset,XX21X11X11112,8243,337,37,0
200120,Stryktipset,1121X2X11XX11,104832,3501,296,74
200120,Europatipset,212XX1X11X12X,22144,772,82,0
200119,Stryktipset,211X22X2111X2,1769734,7395,709,209
200119,Europatipset,121XXXXX2X111,14526,381,40,0
200118,Stryktipset,21111111XX121,101808,1188,87,0
200118,Europatipset,X111111X1X11X,30528,829,91,28
200117,Stryktipset,222X2111X2122,20530,634,65,0
200117,Europatipset,XXX111212111X,119641,2195,127,0
200116,Stryktipset,122X1X21XX2X1,623582,7373,583,130
200116,Europatipset,X21XX12X211X2,203455,5490,300,68
200115,Stryktipset,21212112XXX11,490722,5941,338,77
200115,Europatipset,1X2211112X122,46506,826,66,0
200114,Stryktipset,1X22X2212X211,124487,2636,209,56
200114,Europatipset,X2X2111112122,58205,1145,80,23
200113,Stryktipset,112122X1XXX21,2716079,8399,528,125
200113,Europatipset,1XXX2XX222121,701780,9017,645,131
200112,Stryktipset,1122XX21XXX2X,21992,618,63,20
200112,Europatipset,1111X11X2XXX1,70801,1280,85,0
200111,Stryktipset,21222112X2X11,445554,8285,488,119
200111,Europatipset,1XXX12211XX1X,65433,1452,127,37
200110,Stryktipset,211121211122X,120397,1552,87,20
200110,Europatipset,11111X1XXX12X,31949,894,83,24
200109,Stryktipset,111XXX12112X2,50733,1093,101,33
200109,Europatipset,12X111XX1XXX2,146301,2878,215,56
200108,Stryktipset,1121X22212111,71660,1180,85,0
200108,Europatipset,1211111111111,309,26,0,0
200107,Stryktipset,1X1X1111X121X,65878,1050,101,31
200107,Europatipset,1122XX11X111X,4626,175,0,0
200106,Stryktipset,2XX112XX1X112,414857,9674,657,169
200106,Europatipset,1221X11212121,150021,3027,230,59
200105,Stryktipset,112211X2XXX2X,153328,3317,232,59
200105,Europatipset,1211222111X12,38335,1168,96,0
200104,Stryktipset,121212X212112,353924,6597,439,99
200104,Europatipset,2112X12XX1211,43471,1029,90,0
200103,Stryktipset,11XX2X21X2111,550397,12231,831,201
200103,Europatipset,12XX2X1122121,58636,1269,107,32
200102,Stryktipset,2X22212XX1121,50065,1361,125,38
200102,Europatipset,XX12111XX222X,1352744,10350,649,147
200101,Stryktipset,1X1112222122X,45687,831,63,0
200101,Europatipset,X22211122XXXX,10000000,29300,1096,182
200052,Stryktipset,2XX1112X21X1X,995584,26486,1719,377
