omg,produktnamn,correctRow,utd13,utd12,utd11,utd10
201116,Europatipset,X1X111X222122,93990,2615,116,33
201116,Europatipset,111111XXX12XX,369886,8861,367,91
201115,Europatipset,122112XXXXX22,744518,7396,298,78
201115,Europatipset,2X2X2X2X21111,1196744,25486,1188,282
201114,Europatipset,211121211XX12,14970,335,16,0
201114,Europatipset,111221X11XX11,4218,108,0,0
201113,Europatipset,1111XX2XX2122,4815,94,0,0
201113,Europatipset,12X2XX12121X2,390766,6348,250,57
201112,Europatipset,22122111X2X2X,47621,1085,49,15
201112,Europatipset,1111XX1X11X11,2155,90,0,0
201111,Europatipset,X12X1X1111X11,103208,1609,62,18
201111,Europatipset,1X212X11212X1,59801,1395,64,19
201110,Europatipset,1111222121X1X,1231729,11101,454,116
201110,Europatipset,111XX12122X2X,194078,3650,161,46
201109,Europatipset,11112XX2X11X2,230236,1151,48,15
201109,Europatipset,1X11211XXX222,10000000,24144,759,148
201108,Europatipset,2X1111111XX2X,8327,220,0,0
201108,Europatipset,2X2XX1X2121XX,10000000,229952,5051,796
201107,Europatipset,122XXX2X12221,10000000,195628,3124,525
201107,Europatipset,1X1112X11XX22,155307,1536,65,19
201106,Europatipset,21X1121XXX11X,10000000,4239,159,41
201106,Europatipset,1121X21111211,10024,193,0,0
201105,Europatipset,1X221111X122X,1152044,8863,397,94
201105,Europatipset,21X1X1XX121XX,82110,1433,64,19
201104,Europatipset,11XX111221X11,11642,146,0,0
201104,Europatipset,X11221211122X,10000000,57298,1367,253
201103,Europatipset,1X1X2X111X212,14958,141,0,0
201103,Europatipset,111X2111112X2,5876,139,0,0
201102,Europatipset,11111X121X11X,974557,5318,150,35
201102,Europatipset,XXX1111X1X221,44950,805,35,0
201101,Europatipset,X21X111XX1211,10000000,56240,1207,237
201101,Europatipset,11X1X1211X22X,31753,270,0,0
201042,Europatipset,1X1X111X11XX2,1821,44,0,0
201042,Europatipset,21X11111XXX11,63464,881,42,0
201041,Europatipset,12X2X122X2112,12898,230,0,0
201041,Europatipset,1212211211X1X,153216,1414,48,0
201040,Europatipset,1X21211212X12,395465,634,24,0
201040,Europatipset,111111111XX21,17357,182,0,0
201039,Europatipset,21121121X2X1X,119078,2416,96,28
201039,Europatipset,12112X1X111XX,10000000,14194,391,81
201038,Europatipset,2XX1122X1XX1X,292193,1122,42,0
201038,Europatipset,X1221X1121121,146166,2930,134,38
201037,Europatipset,1X11211121X12,465,21,0,0
201037,Europatipset,122221XX11222,22160,297,15,0
201036,Europatipset,111XX21111212,20251,149,0,0
201036,Europatipset,X1X112X1X1211,1676461,20941,621,142
201035,Europatipset,12111X1X11X21,1251637,3305,119,31
201034,Europatipset,1111111122121,1736,34,0,0
201034,Europatipset,111X2121211X1,324122,3858,159,41
201033,Europatipset,21111X21X111X,97504,1673,69,20
201033,Europatipset,X1X2122121221,10000000,66662,2220,438
201032,Europatipset,1XX21XX21XX12,384943,6231,408,81
201032,Europatipset,XX11X112X2X12,67459,2770,204,52
201031,Europatipset,11212X1XX1112,71377,1096,61,16
201031,Europatipset,21X221222XXXX,10000000,111508,13118,2467
201025,Europatipset,11222X222212X,78846,636,44,12
201024,Europatipset,221122XX1X221,10000000,83469,4555,695
201023,Europatipset,XX11X22111XX1,16602,403,41,14
201022,Europatipset,222X2X1121211,10000000,2379,139,34
201022,Europatipset,11X1111X1X1X1,36845,474,50,16
201021,Europatipset,11X121X111X21,7167,75,0,0
201021,Europatipset,X1XX11222X212,607033,11877,1178,284
201020,Europatipset,222X222111112,498,0,0,0
201020,Europatipset,1X21111111211,709,11,0,0
201019,Europatipset,X21X22111112X,10000000,22172,970,164
201019,Europatipset,1X112112221X1,9481,70,0,0
201018,Europatipset,2X22X211X1111,279936,1336,104,28
201018,Europatipset,1111X1X2222X2,2826,79,0,0
201017,Europatipset,1111122122111,72827,519,45,14
201017,Europatipset,121XX2111XX22,5798,172,18,0
201016,Europatipset,12X2222X21X11,2122,75,0,0
201016,Europatipset,1222111X11112,9754,105,10,0
201015,Europatipset,1X11X212211X1,43967,933,83,24
201015,Europatipset,212XX2112222X,399092,15705,1511,397
201014,Europatipset,1111X1222X111,22932,128,14,0
201014,Europatipset,XX11X211X1211,269354,2887,220,60
201013,Europatipset,X1111XX2X1212,4415,157,18,0
201013,Europatipset,X1XX1212XX22X,10000000,9323,432,90
201012,Europatipset,1X12211XX12X1,7948,241,22,0
201012,Europatipset,12111XX1X111X,28865,406,38,12
201011,Europatipset,11121XXX11X11,186066,781,63,19
201011,Europatipset,1X212X121X112,40074,1058,92,26
